iter	Passed	Remaining
406	6780	26540
407	6796	26520
408	6818	26522
409	6832	26495
410	6847	26474
411	6862	26451
412	6878	26431
413	6903	26445
414	6919	26427
415	6935	26407
416	6948	26379
417	6964	26357
418	6979	26334
419	6994	26312
420	7009	26289
421	7028	26280
422	7044	26262
423	7058	26235
424	7073	26213
425	7088	26191
426	7104	26170
427	7118	26146
428	7133	26122
429	7147	26095
430	7162	26073
431	7178	26056
432	7198	26051
433	7215	26034
434	7235	26029
435	7251	26010
436	7272	26010
437	7288	25993
438	7303	25969
439	7317	25942
440	7333	25926
441	7349	25904
442	7360	25870
443	7375	25847
444	7394	25838
445	7412	25826
446	7426	25801
447	7441	25777
448	7457	25761
449	7472	25739
450	7488	25718
451	7502	25695
452	7518	25674
453	7534	25658
454	7547	25628
455	7561	25603
456	7577	25583
457	7593	25565
458	7608	25543
459	7624	25524
460	7641	25510
461	7657	25492
462	7672	25471
463	7689	25454
464	7704	25432
465	7719	25412
466	7740	25408
467	7762	25409
468	7778	25391
469	7793	25370
470	7808	25348
471	7824	25331
472	7840	25312
473	7856	25294
474	7873	25278
475	7890	25262
476	7905	25241
477	7920	25219
478	7935	25199
479	7950	25177
480	7966	25158
481	7985	25149
482	8005	25142
483	8020	25120
484	8036	25102
485	8050	25078
486	8066	25059
487	8080	25037
488	8096	25017
489	8111	24995
490	8128	24980
491	8143	24960
492	8158	24938
493	8173	24917
494	8190	24901
495	8205	24881
496	8226	24878
497	8244	24864
498	8261	24852
499	8275	24826
500	8289	24803
501	8310	24798
502	8326	24781
503	8343	24766
504	8359	24746
505	8374	24725
506	8393	24718
507	8413	24710
508	8429	24691
509	8453	24696
510	8468	24676
511	8484	24657
512	8499	24636
513	8515	24618
514	8531	24600
515	8548	24584
516	8563	24563
517	8578	24544
518	8594	24524
519	8613	24514
520	8637	24518
521	8652	24497
522	8667	24477
523	8682	24457
524	8697	24436
525	8712	24415
526	8728	24395
527	8743	24376
528	8758	24354
529	8773	24335
530	8790	24318
531	8805	24297
532	8818	24272
533	8833	24251
534	8850	24234
535	8865	24213
536	8882	24199
537	8898	24181
538	8912	24156
539	8928	24141
540	8952	24143
541	8967	24123
542	8986	24113
543	9004	24100
544	9022	24086
545	9038	24070
546	9056	24058
547	9072	24040
548	9092	24032
549	9113	24025
550	9132	24016
551	9148	23997
552	9163	23976
553	9178	23957
554	9195	23941
555	9218	23942
556	9235	23927
557	9250	23906
558	9266	23887
559	9279	23862
560	9296	23845
561	9320	23849
562	9337	23832
563	9352	23813
564	9367	23792
565	9383	23772
566	9397	23751
567	9414	23734
568	9429	23715
569	9444	23694
570	9459	23674
571	9476	23657
572	9491	23636
573	9506	23616
574	9521	23596
575	9540	23586
576	9556	23567
577	9572	23549
578	9589	23535
579	9604	23514
580	9627	23514
581	9645	23499
582	9666	23495
583	9684	23482
584	9700	23462
585	9715	23442
586	9731	23426
587	9747	23406
588	9764	23391
589	9786	23387
590	9808	23384
591	9824	23365
592	9846	23361
593	9861	23341
594	9876	23322
595	9901	23324
596	9917	23306
597	9932	23286
598	9946	23264
599	9962	23245
600	9977	23225
601	9992	23205
602	10007	23185
603	10025	23170
604	10043	23158
605	10062	23146
606	10078	23128
607	10094	23111
608	10111	23096
609	10129	23081
610	10144	23060
611	10158	23039
612	10173	23019
613	10191	23005
614	10206	22986
615	10222	22968
616	10239	22951
617	10258	22940
618	10274	22922
619	10290	22905
620	10306	22887
621	10322	22869
622	10339	22853
623	10355	22834
624	10371	22816
625	10386	22798
626	10402	22779
627	10418	22761
628	10433	22742
629	10449	22723
630	10464	22703
631	10480	22686
632	10497	22670
633	10517	22660
634	10532	22641
635	10551	22629
636	10566	22609
637	10581	22589
638	10596	22570
639	10612	22550
640	10628	22533
641	10643	22513
642	10662	22501
643	10676	22481
644	10693	22463
645	10708	22444
646	10723	22425
647	10740	22408
648	10755	22388
649	10769	22367
650	10784	22347
651	10799	22328
652	10814	22308
653	10830	22289
654	10845	22270
655	10864	22258
656	10879	22238
657	10895	22222
658	10910	22202
659	10941	22213
660	10959	22201
661	10975	22183
662	10991	22165
663	11007	22147
664	11022	22128
665	11038	22110
666	11057	22098
667	11075	22085
668	11091	22067
669	11108	22051
670	11124	22032
671	11140	22016
672	11155	21996
673	11170	21977
674	11186	21958
675	11201	21940
676	11217	21921
677	11233	21903
678	11250	21888
679	11266	21869
680	11281	21850
681	11297	21832
682	11318	21825
683	11334	21807
684	11350	21788
685	11366	21771
686	11382	21755
687	11398	21736
688	11413	21716
689	11430	21701
690	11446	21683
691	11470	21681
692	11487	21665
693	11503	21648
694	11519	21630
695	11534	21610
696	11549	21591
697	11566	21574
698	11584	21560
699	11599	21541
700	11614	21522
701	11636	21515
702	11653	21499
703	11668	21481
704	11684	21462
705	11699	21443
706	11713	21423
707	11729	21404
708	11744	21385
709	11760	21367
710	11780	21357
711	11800	21347
712	11815	21328
713	11832	21311
714	11849	21295
715	11864	21276
716	11879	21257
717	11902	21251
718	11921	21240
719	11937	21221
720	11952	21202
721	11967	21183
722	11983	21166
723	11998	21147
724	12014	21128
725	12030	21111
726	12050	21101
727	12072	21093
728	12086	21073
729	12101	21053
730	12116	21034
731	12133	21017
732	12148	20999
733	12167	20986
734	12191	20982
735	12208	20966
736	12230	20960
737	12246	20942
738	12262	20924
739	12276	20902
740	12303	20903
741	12320	20888
742	12335	20869
743	12352	20853
744	12367	20834
745	12383	20815
746	12399	20798
747	12414	20779
748	12432	20764
749	12448	20747
750	12463	20728
751	12478	20708
752	12493	20690
753	12509	20671
754	12524	20653
755	12540	20635
756	12556	20618
757	12572	20600
758	12588	20583
759	12604	20564
760	12619	20545
761	12636	20530
762	12651	20511
763	12666	20492
764	12681	20472
765	12697	20454
766	12712	20436
767	12727	20417
768	12743	20400
769	12760	20383
770	12775	20364
771	12791	20347
772	12812	20337
773	12828	20320
774	12845	20303
775	12860	20284
776	12874	20265
777	12896	20256
778	12912	20238
779	12930	20225
780	12946	20207
781	12962	20189
782	12978	20171
783	12993	20152
784	13008	20134
785	13025	20117
786	13043	20104
787	13059	20086
788	13074	20067
789	13089	20048
790	13105	20030
791	13127	20022
792	13148	20013
793	13167	20000
794	13184	19983
795	13203	19970
796	13218	19951
797	13233	19932
798	13249	19915
799	13272	19908
800	13288	19890
801	13303	19872
802	13319	19855
803	13335	19837
804	13351	19819
805	13370	19806
806	13385	19787
807	13402	19772
808	13418	19754
809	13440	19745
810	13456	19728
811	13473	19711
812	13491	19698
813	13511	19686
814	13530	19672
815	13549	19660
816	13572	19653
817	13588	19635
818	13604	19618
819	13619	19598
820	13634	19579
821	13649	19561
822	13665	19542
823	13680	19524
824	13698	19509
825	13713	19491
826	13729	19473
827	13746	19457
828	13763	19440
829	13784	19430
830	13799	19412
831	13816	19395
832	13839	19387
833	13854	19369
834	13869	19350
835	13885	19333
836	13900	19315
837	13917	19298
838	13932	19280
839	13948	19261
840	13963	19243
841	13981	19228
842	13998	19212
843	14023	19206
844	14046	19200
845	14062	19182
846	14078	19164
847	14096	19149
848	14112	19131
849	14130	19117
850	14152	19108
851	14170	19093
852	14189	19080
853	14207	19065
854	14222	19046
855	14238	19028
856	14253	19009
857	14268	18991
858	14284	18973
859	14300	18956
860	14316	18939
861	14332	18922
862	14348	18904
863	14363	18885
864	14378	18866
865	14393	18848
866	14408	18829
867	14424	18811
868	14439	18792
869	14454	18774
870	14469	18755
871	14489	18742
872	14506	18726
873	14521	18708
874	14536	18689
875	14553	18673
876	14569	18655
877	14584	18637
878	14601	18621
879	14617	18603
880	14633	18586
881	14651	18572
882	14666	18553
883	14681	18534
884	14698	18518
885	14715	18502
886	14733	18486
887	14749	18470
888	14764	18451
889	14780	18433
890	14795	18415
891	14810	18396
892	14825	18378
893	14842	18362
894	14857	18344
895	14873	18325
896	14892	18312
897	14912	18300
898	14929	18283
899	14950	18272
900	14964	18253
901	14979	18234
902	14994	18216
903	15010	18198
904	15028	18184
905	15045	18167
906	15062	18151
907	15081	18137
908	15096	18118
909	15114	18104
910	15130	18086
911	15152	18076
912	15167	18058
913	15182	18039
914	15198	18022
915	15213	18003
916	15229	17985
917	15245	17968
918	15263	17953
919	15278	17935
920	15294	17917
921	15310	17901
922	15326	17883
923	15342	17866
924	15357	17847
925	15373	17830
926	15388	17811
927	15403	17793
928	15424	17782
929	15446	17771
930	15461	17753
931	15478	17736
932	15493	17718
933	15509	17700
934	15525	17684
935	15541	17666
936	15556	17648
937	15574	17632
938	15589	17614
939	15605	17597
940	15620	17579
941	15639	17565
942	15656	17549
943	15671	17531
944	15686	17512
945	15709	17502
946	15725	17485
947	15742	17469
948	15757	17451
949	15776	17437
950	15797	17425
951	15813	17408
952	15829	17390
953	15845	17373
954	15860	17355
955	15876	17337
956	15895	17324
957	15911	17307
958	15927	17289
959	15943	17271
960	15963	17258
961	15984	17247
962	16000	17230
963	16018	17215
964	16033	17196
965	16053	17183
966	16068	17165
967	16083	17146
968	16102	17133
969	16123	17120
970	16139	17103
971	16155	17086
972	16170	17067
973	16185	17049
974	16201	17032
975	16220	17018
976	16238	17003
977	16254	16985
978	16269	16967
979	16290	16955
980	16306	16938
981	16332	16931
982	16350	16916
983	16375	16907
984	16391	16890
985	16407	16873
986	16427	16860
987	16445	16845
988	16471	16837
989	16495	16828
990	16511	16811
991	16530	16796
992	16550	16784
993	16572	16772
994	16588	16755
995	16605	16739
996	16622	16722
997	16639	16705
998	16664	16697
999	16683	16683
1000	16702	16669
1001	16718	16652
1002	16735	16635
1003	16751	16618
1004	16767	16600
1005	16788	16588
1006	16805	16571
1007	16822	16555
1008	16839	16539
1009	16860	16526
1010	16888	16521
1011	16905	16504
1012	16921	16487
1013	16938	16471
1014	16954	16453
1015	16974	16440
1016	16990	16422
1017	17006	16405
1018	17023	16388
1019	17039	16371
1020	17058	16356
1021	17075	16340
1022	17090	16322
1023	17108	16306
1024	17126	16291
1025	17146	16277
1026	17164	16261
1027	17180	16244
1028	17202	16232
1029	17221	16217
1030	17237	16200
1031	17251	16181
1032	17266	16163
1033	17281	16145
1034	17297	16127
1035	17312	16109
1036	17329	16093
1037	17344	16074
1038	17366	16063
1039	17385	16048
1040	17401	16030
1041	17416	16012
1042	17433	15996
1043	17449	15978
1044	17465	15961
1045	17483	15945
1046	17502	15930
1047	17524	15919
1048	17540	15901
1049	17557	15885
1050	17574	15869
1051	17590	15851
1052	17608	15835
1053	17633	15826
1054	17649	15809
1055	17664	15791
1056	17680	15773
1057	17696	15756
1058	17712	15738
1059	17727	15720
1060	17750	15709
1061	17766	15691
1062	17781	15674
1063	17797	15656
1064	17813	15638
1065	17829	15621
1066	17844	15603
1067	17861	15587
1068	17877	15569
1069	17892	15551
1070	17909	15534
1071	17927	15519
1072	17946	15504
1073	17971	15495
1074	17987	15477
1075	18003	15459
1076	18019	15443
1077	18035	15425
1078	18051	15408
1079	18068	15391
1080	18084	15374
1081	18104	15360
1082	18122	15344
1083	18137	15326
1084	18153	15309
1085	18170	15292
1086	18185	15274
1087	18205	15260
1088	18221	15243
1089	18246	15233
1090	18262	15215
1091	18278	15198
1092	18293	15180
1093	18310	15164
1094	18327	15147
1095	18350	15135
1096	18368	15120
1097	18384	15103
1098	18400	15085
1099	18416	15067
1100	18431	15050
1101	18447	15032
1102	18464	15015
1103	18480	14998
1104	18495	14980
1105	18510	14962
1106	18528	14946
1107	18544	14929
1108	18561	14912
1109	18577	14895
1110	18594	14878
1111	18609	14861
1112	18626	14844
1113	18642	14827
1114	18658	14809
1115	18674	14792
1116	18690	14774
1117	18708	14759
1118	18728	14745
1119	18746	14729
1120	18762	14712
1121	18780	14696
1122	18798	14680
1123	18814	14662
1124	18833	14648
1125	18850	14631
1126	18868	14615
1127	18891	14604
1128	18915	14592
1129	18935	14578
1130	18951	14561
1131	18966	14543
1132	18983	14526
1133	19000	14509
1134	19018	14494
1135	19038	14480
1136	19054	14462
1137	19081	14453
1138	19098	14436
1139	19115	14420
1140	19130	14402
1141	19145	14384
1142	19166	14370
1143	19182	14353
1144	19201	14337
1145	19218	14321
1146	19234	14304
1147	19251	14287
1148	19273	14274
1149	19298	14264
1150	19318	14249
1151	19337	14234
1152	19355	14218
1153	19370	14200
1154	19391	14186
1155	19411	14172
1156	19427	14154
1157	19446	14140
1158	19461	14121
1159	19476	14103
1160	19491	14085
1161	19507	14068
1162	19523	14050
1163	19539	14033
1164	19556	14016
1165	19578	14003
1166	19602	13992
1167	19618	13974
1168	19633	13956
1169	19649	13939
1170	19665	13922
1171	19685	13907
1172	19701	13890
1173	19720	13874
1174	19735	13856
1175	19752	13840
1176	19769	13823
1177	19786	13806
1178	19801	13789
1179	19818	13772
1180	19835	13755
1181	19851	13738
1182	19870	13722
1183	19887	13706
1184	19907	13691
1185	19924	13674
1186	19939	13657
1187	19956	13640
1188	19973	13623
1189	19991	13607
1190	20009	13591
1191	20028	13576
1192	20046	13560
1193	20062	13543
1194	20079	13526
1195	20097	13510
1196	20112	13492
1197	20135	13479
1198	20152	13462
1199	20169	13446
1200	20188	13430
1201	20205	13414
1202	20224	13398
1203	20240	13381
1204	20257	13365
1205	20273	13347
1206	20290	13330
1207	20306	13313
1208	20324	13297
1209	20341	13281
1210	20360	13265
1211	20376	13248
1212	20395	13232
1213	20412	13215
1214	20435	13203
1215	20452	13186
1216	20469	13169
1217	20485	13152
1218	20502	13135
1219	20518	13118
1220	20535	13101
1221	20556	13087
1222	20573	13070
1223	20589	13053
1224	20605	13036
1225	20622	13019
1226	20638	13002
1227	20655	12985
1228	20671	12968
1229	20687	12950
1230	20704	12933
1231	20719	12915
1232	20736	12899
1233	20753	12882
1234	20770	12865
1235	20786	12848
1236	20803	12831
1237	20819	12814
1238	20835	12797
1239	20852	12780
1240	20868	12763
1241	20885	12746
1242	20902	12729
1243	20919	12713
1244	20934	12695
1245	20950	12678
1246	20967	12661
1247	20984	12644
1248	21002	12628
1249	21019	12611
1250	21036	12595
1251	21053	12577
1252	21071	12561
1253	21087	12544
1254	21104	12528
1255	21120	12511
1256	21138	12494
1257	21155	12477
1258	21171	12460
1259	21188	12443
1260	21204	12426
1261	21221	12410
1262	21238	12393
1263	21255	12376
1264	21273	12360
1265	21290	12343
1266	21307	12326
1267	21329	12313
1268	21353	12300
1269	21369	12283
1270	21385	12266
1271	21402	12249
1272	21418	12232
1273	21434	12214
1274	21453	12199
1275	21470	12182
1276	21488	12166
1277	21505	12149
1278	21524	12133
1279	21541	12116
1280	21558	12100
1281	21575	12083
1282	21591	12066
1283	21607	12049
1284	21624	12032
1285	21641	12015
1286	21658	11998
1287	21676	11982
1288	21692	11965
1289	21708	11948
1290	21723	11930
1291	21739	11912
1292	21757	11896
1293	21773	11879
1294	21789	11862
1295	21806	11845
1296	21823	11828
1297	21841	11812
1298	21859	11796
1299	21876	11779
1300	21893	11763
1301	21912	11747
1302	21929	11730
1303	21945	11713
1304	21962	11696
1305	21978	11679
1306	21996	11663
1307	22012	11645
1308	22029	11628
1309	22046	11612
1310	22064	11596
1311	22082	11579
1312	22105	11566
1313	22122	11549
1314	22139	11532
1315	22156	11515
1316	22172	11498
1317	22191	11482
1318	22208	11466
1319	22225	11449
1320	22242	11432
1321	22258	11415
1322	22274	11398
1323	22290	11381
1324	22309	11364
1325	22327	11348
1326	22344	11332
1327	22360	11315
1328	22379	11299
1329	22395	11282
1330	22414	11266
1331	22431	11249
1332	22448	11232
1333	22464	11215
1334	22481	11198
1335	22497	11181
1336	22514	11164
1337	22531	11147
1338	22548	11130
1339	22566	11114
1340	22583	11097
1341	22597	11080
1342	22614	11063
1343	22631	11046
1344	22646	11028
1345	22663	11011
1346	22681	10995
1347	22699	10979
1348	22716	10962
1349	22732	10945
1350	22749	10928
1351	22766	10911
1352	22785	10896
1353	22802	10878
1354	22820	10862
1355	22836	10845
1356	22855	10829
1357	22871	10812
1358	22888	10795
1359	22906	10779
1360	22923	10762
1361	22941	10746
1362	22957	10729
1363	22973	10712
1364	22989	10694
1365	23006	10677
1366	23024	10661
1367	23040	10644
1368	23057	10627
1369	23073	10610
1370	23090	10593
1371	23106	10576
1372	23123	10559
1373	23139	10542
1374	23155	10525
1375	23171	10508
1376	23189	10491
1377	23205	10474
1378	23222	10457
1379	23238	10440
1380	23255	10423
1381	23273	10407
1382	23289	10390
1383	23306	10373
1384	23323	10356
1385	23339	10339
1386	23356	10322
1387	23373	10306
1388	23390	10289
1389	23408	10272
1390	23424	10255
1391	23440	10238
1392	23458	10222
1393	23475	10205
1394	23491	10188
1395	23511	10172
1396	23527	10155
1397	23545	10138
1398	23563	10122
1399	23579	10105
1400	23596	10088
1401	23615	10072
1402	23632	10055
1403	23651	10040
1404	23669	10023
1405	23686	10006
1406	23702	9989
1407	23720	9973
1408	23737	9956
1409	23754	9939
1410	23772	9923
1411	23791	9907
1412	23806	9889
1413	23823	9873
1414	23839	9856
1415	23856	9838
1416	23872	9821
1417	23889	9804
1418	23904	9787
1419	23922	9771
1420	23938	9754
1421	23956	9737
1422	23972	9720
1423	23991	9704
1424	24008	9687
1425	24025	9670
1426	24041	9653
1427	24057	9636
1428	24075	9619
1429	24091	9602
1430	24108	9586
1431	24125	9569
1432	24142	9552
1433	24159	9535
1434	24176	9519
1435	24193	9502
1436	24212	9485
1437	24229	9469
1438	24246	9452
1439	24264	9436
1440	24281	9419
1441	24297	9402
1442	24314	9385
1443	24329	9368
1444	24347	9351
1445	24364	9334
1446	24381	9317
1447	24398	9300
1448	24414	9283
1449	24431	9267
1450	24448	9250
1451	24464	9233
1452	24482	9216
1453	24499	9199
1454	24516	9183
1455	24535	9167
1456	24552	9150
1457	24569	9133
1458	24588	9117
1459	24604	9100
1460	24621	9083
1461	24638	9066
1462	24654	9049
1463	24671	9032
1464	24688	9016
1465	24705	8999
1466	24723	8982
1467	24739	8965
1468	24757	8948
1469	24773	8931
1470	24791	8915
1471	24808	8898
1472	24825	8881
1473	24841	8864
1474	24858	8847
1475	24874	8830
1476	24891	8813
1477	24908	8797
1478	24925	8780
1479	24941	8763
1480	24958	8746
1481	24976	8729
1482	24992	8712
1483	25010	8696
1484	25027	8679
1485	25045	8663
1486	25062	8646
1487	25079	8629
1488	25096	8612
1489	25113	8596
1490	25130	8579
1491	25148	8562
1492	25165	8545
1493	25182	8528
1494	25198	8512
1495	25215	8495
1496	25232	8478
1497	25248	8461
1498	25265	8444
1499	25282	8427
1500	25299	8410
1501	25315	8393
1502	25332	8376
1503	25349	8359
1504	25365	8342
1505	25382	8325
1506	25398	8308
1507	25414	8291
1508	25430	8274
1509	25446	8257
1510	25462	8240
1511	25478	8223
1512	25495	8206
1513	25512	8189
1514	25528	8172
1515	25544	8155
1516	25560	8138
1517	25575	8120
1518	25591	8103
1519	25607	8086
1520	25623	8069
1521	25640	8052
1522	25656	8035
1523	25672	8018
1524	25689	8001
1525	25706	7984
1526	25722	7967
1527	25738	7950
1528	25756	7934
1529	25776	7918
1530	25793	7901
1531	25811	7885
1532	25828	7868
1533	25845	7851
1534	25863	7834
1535	25880	7818
1536	25895	7800
1537	25912	7783
1538	25929	7766
1539	25945	7749
1540	25962	7733
1541	25978	7716
1542	25995	7699
1543	26013	7682
1544	26029	7665
1545	26045	7648
1546	26061	7631
1547	26079	7614
1548	26096	7598
1549	26111	7580
1550	26129	7564
1551	26146	7547
1552	26163	7530
1553	26179	7513
1554	26196	7496
1555	26212	7479
1556	26229	7462
1557	26245	7445
1558	26262	7428
1559	26278	7411
1560	26294	7394
1561	26312	7378
1562	26329	7361
1563	26345	7344
1564	26363	7327
1565	26380	7310
1566	26396	7294
1567	26414	7277
1568	26432	7260
1569	26448	7243
1570	26465	7227
1571	26481	7209
1572	26497	7192
1573	26513	7175
1574	26530	7159
1575	26547	7142
1576	26563	7125
1577	26579	7107
1578	26595	7090
1579	26614	7074
1580	26632	7058
1581	26649	7041
1582	26666	7024
1583	26683	7007
1584	26699	6990
1585	26716	6973
1586	26735	6957
1587	26753	6941
1588	26769	6924
1589	26786	6907
1590	26802	6890
1591	26819	6873
1592	26835	6856
1593	26852	6839
1594	26869	6822
1595	26888	6806
1596	26905	6789
1597	26922	6772
1598	26938	6755
1599	26955	6738
1600	26972	6722
1601	26988	6705
1602	27004	6688
1603	27023	6671
1604	27040	6654
1605	27058	6638
1606	27075	6621
1607	27092	6604
1608	27109	6587
1609	27126	6571
1610	27143	6554
1611	27160	6537
1612	27182	6521
1613	27198	6504
1614	27216	6488
1615	27233	6471
1616	27250	6454
1617	27266	6437
1618	27283	6420
1619	27299	6403
1620	27319	6387
1621	27338	6371
1622	27356	6354
1623	27374	6337
1624	27389	6320
1625	27406	6303
1626	27423	6287
1627	27441	6270
1628	27457	6253
1629	27474	6236
1630	27491	6219
1631	27507	6202
1632	27524	6185
1633	27540	6168
1634	27555	6151
1635	27571	6134
1636	27588	6117
1637	27605	6100
1638	27622	6083
1639	27639	6067
1640	27660	6051
1641	27677	6034
1642	27694	6017
1643	27711	6000
1644	27727	5983
1645	27743	5966
1646	27760	5949
1647	27776	5932
1648	27792	5915
1649	27809	5899
1650	27826	5882
1651	27842	5865
1652	27859	5848
1653	27875	5831
1654	27892	5814
1655	27910	5797
1656	27928	5781
1657	27944	5764
1658	27961	5747
1659	27978	5730
1660	27994	5713
1661	28010	5696
1662	28026	5679
1663	28042	5662
1664	28061	5645
1665	28077	5628
1666	28093	5611
1667	28110	5595
1668	28129	5578
